exam_year,exam_type,phase,institute_code,college_name,branch_code,branch_name,category,gender,opening_rank,closing_rank,location,district,college_type,affiliated_to
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_C,BOYS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_C,GIRLS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_D,BOYS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_D,GIRLS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_E,BOYS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_E,GIRLS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC_I,BOYS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC_I,GIRLS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC_II,BOYS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC_II,GIRLS,144789,144789,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC_III,BOYS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC_III,GIRLS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,ST,BOYS,151513,151513,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,ST,GIRLS,151513,151513,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,EWS,BOYS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,EWS,GIRLS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,OC,BOYS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,OC,GIRLS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,BC_A,BOYS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,BC_A,GIRLS,145122,145122,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,BC_B,BOYS,143141,143141,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,BC_B,GIRLS,143141,143141,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,BC_C,BOYS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,BC_C,GIRLS,102892,102892,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,BC_D,BOYS,111917,111917,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,MEC,MECHANICAL ENGINEERING,BC_D,GIRLS,111917,111917,BANDLAGUDA,HYD,PVT,JNTUH
